District,Name,Server,Comments,,,,,,
TUS,TUSGASAVPTR01,\\TUSGASAVFSV01,Ricoh C6501,North 2nd Floor,,,,,
TUS,TUSGASAVPTR02,\\TUSGASAVFSV01,Savin 9040,1st Floor South,,,,,
TUS,TUSGASAVPTR03,\\TUSGASAVFSV01,Kyocera - CS400ci,North 2nd floor,,,,,
TUS,TUSGASAVPTR05,\\TUSGASAVFSV01,Aficio C3000,2nd Floor South,,,,,
TUS,TUSGASAVPTR06,\\TUSGASAVFSV01,HP Designjet 500PS Plotter,1st Floor South,,,,,
TUS,TUSGASAVPTR09,\\TUSGASAVFSV01,Upstairs ,,,,,,
SOC,SOCCASFS-HP5200-BusinessDept,\\SOCCASFSFSV01,HP5200-BusinessDept ,,,,,,
SOC,SOCCASFS-HPCheckPrinter,\\SOCCASFSFSV01,HPCheckPrinter ,,,,,,
SOC,SOCCASFS-HPColor-BusinessDept,\\SOCCASFSFSV01,HPColor-BusinessDept ,,,,,,
SOC,SOCCASFS-HPColor-SponsorAlley,\\SOCCASFSFSV01,HPColor-SponsorAlley ,,,,,,
SOC,SOCCASFS-HPColorJoseP,\\SOCCASFSFSV01,HPColorJoseP ,,,,,,
SOC,SOCCASFS-MechanicalDept,\\SOCCASFSFSV01,MechanicalDept ,,,,,,
SOC,SOCCASFS-Plotter-BidRoom,\\SOCCASFSFSV01,Plotter-BidRoom ,,,,,,
SOC,SOCCASFS-Plotter-Trailer,\\SOCCASFSFSV01,Plotter-Trailer ,,,,,,
SOC,SOCCASFS-RicohBW-BusinessDept,\\SOCCASFSFSV01,RicohBW-BusinessDept ,,,,,,
SOC,SOCCASFS-RicohBW-EstimatingDept,\\SOCCASFSFSV01,RicohBW-EstimatingDept ,,,,,,
SOC,SOCCASFS-RICOHC901-ProposalRoom,\\SOCCASFSFSV01,RICOHC901-ProposalRoom ,,,,,,
SOC,SOCCASFS-RicohColor-BidRoom,\\SOCCASFSFSV01,RicohColor-BidRoom ,,,,,,
SOC,SOCCASFS-RicohColor-DistrictShop,\\SOCCASFSFSV01,RicohColor-DistrictShop ,,,,,,
SOC,SOCCASFS-RicohColor-Trailer,\\SOCCASFSFSV01,RicohColor-Trailer ,,,,,,
ECD,Canon iPF810,\\ECDONOAKFSV01,iPF810 Plotter ,,,,,,
ECD,HP2300Acct,\\ECDONOAKFSV01,HP LaserJet 2300 Accounting ,,,,,,
ECD,HPCM2320nfExec,\\ECDONOAKFSV01,HP CM2320nf ,,,,,,
ECD,HPP3015Acct,\\ECDONOAKFSV01,HP LaserJet P3015 Accounting ,,,,,,
ECD,Ricoh1BW,\\ECDONOAKFSV01,Ricoh 1 BW ,,,,,,
ECD,Ricoh1Colour,\\ECDONOAKFSV01,Ricoh 1 Colour ,,,,,,
ECD,Ricoh2BW,\\ECDONOAKFSV01,Ricoh 2 BW ,,,,,,
ECD,Ricoh2Colour,\\ECDONOAKFSV01,Ricoh 2 Colour ,,,,,,
ECD,Ricoh3BW,\\ECDONOAKFSV01,Ricoh 3 BW ,,,,,,
ECD,Ricoh3Colour,\\ECDONOAKFSV01,Ricoh 3 Colour ,,,,,,
ECD,Ricoh4BW,\\ECDONOAKFSV01,Ricoh 4 BW ,,,,,,
ECD,Ricoh4Colour,\\ECDONOAKFSV01,Ricoh 4 Colour ,,,,,,
ECD,Ricoh5BW,\\ECDONOAKFSV01,Ricoh 5 BW ,,,,,,
ECD,Ricoh5Colour,\\ECDONOAKFSV01,Ricoh 5 Colour ,,,,,,
